Designator,Mid X,Mid Y,Rotation,Layer
D1,96.6425,-66.5675,90.0,bottom
D10,256.09,-66.5675,90.0,bottom
D11,275.11,-66.5675,90.0,bottom
D12,294.13,-66.5675,90.0,bottom
D13,313.15,-66.5675,90.0,bottom
D14,102.1425,-85.5125,90.0,bottom
D15,113.44,-85.5875,90.0,bottom
D16,132.46,-85.5875,90.0,bottom
D17,151.48,-85.5875,90.0,bottom
D18,170.5,-85.5875,90.0,bottom
D19,189.52,-85.5875,90.0,bottom
D2,103.93,-66.5675,90.0,bottom
D20,208.54,-85.5875,90.0,bottom
D21,227.56,-85.5875,90.0,bottom
D22,246.58,-85.5875,90.0,bottom
D23,265.6,-85.5875,90.0,bottom
D24,284.62,-85.5875,90.0,bottom
D25,303.64,-85.5875,90.0,bottom
D26,339.3025,-66.5675,90.0,bottom
D27,104.1425,-104.6625,90.0,bottom
D28,118.195,-104.6075,90.0,bottom
D29,137.215,-104.6075,90.0,bottom
D3,122.95,-66.5675,90.0,bottom
D30,156.235,-104.6075,90.0,bottom
D31,175.255,-104.6075,90.0,bottom
D32,194.275,-104.6075,90.0,bottom
D33,213.295,-104.6075,90.0,bottom
D34,232.315,-104.6075,90.0,bottom
D35,251.335,-104.6075,90.0,bottom
D36,270.355,-104.6075,90.0,bottom
D37,289.375,-104.6075,90.0,bottom
D38,308.395,-104.6075,90.0,bottom
D39,322.66,-85.5875,90.0,bottom
D4,141.97,-66.5675,90.0,bottom
D40,109.1425,-123.6275,90.0,bottom
D41,127.705,-123.6275,90.0,bottom
D42,146.725,-123.6275,90.0,bottom
D43,165.745,-123.6275,90.0,bottom
D44,184.765,-123.6275,90.0,bottom
D45,203.785,-123.6275,90.0,bottom
D46,222.805,-123.6275,90.0,bottom
D47,241.825,-123.6275,90.0,bottom
D48,260.845,-123.6275,90.0,bottom
D49,279.865,-123.6275,90.0,bottom
D5,160.99,-66.5675,90.0,bottom
D50,298.885,-123.6275,90.0,bottom
D51,334.5475,-104.6075,90.0,bottom
D52,344.0575,-85.5875,90.0,bottom
D53,96.6425,-142.6475,90.0,bottom
D54,108.685,-142.6475,90.0,bottom
D55,132.46,-142.6475,90.0,bottom
D56,189.52,-142.6475,90.0,bottom
D57,275.11,-142.6475,90.0,bottom
D58,313.15,-142.6475,90.0,bottom
D59,332.17,-142.6475,90.0,bottom
D6,180.01,-66.5675,90.0,bottom
D60,325.0375,-123.6275,90.0,bottom
D61,351.19,-142.6475,90.0,bottom
D7,199.03,-66.5675,90.0,bottom
D8,218.05,-66.5675,90.0,bottom
D9,237.07,-66.5675,90.0,bottom
J1,83.25,-97.5125,90.0,bottom
